x_D_Benzene,x_B_Benzene,Q_C_kW,Q_R_kW
-0.744883709537972,-0.6790360831932184,0.6773682914600042,0.7321924685796475
-0.3970816848045796,-0.8407163337790641,-0.29645867082209143,-0.14162873828052416
-0.786669289392403,-0.8153438347505308,-1.1337010961466298,-1.0261540250932657
0.8408975088185829,1.585372634459103,1.7852870376201408,1.537406308256417
-1.6734454275176982,-0.8480952149029751,0.42568309199513676,0.2969276754686933
0.8394308810990195,-0.3621838763323313,1.3100538118421947,1.1639927289158973
-1.4059810292249892,-0.6921216149619062,-0.7129082376820121,-0.5392363650171329
0.7318066321456342,-0.7199716217293659,-1.2162145534433222,-1.1161209956508313
-0.8723935364141334,-0.6661443509211191,-0.8190404019025228,-0.8658371063797974
0.8390447442128249,0.32622413657007976,0.30208328739506696,0.3867265008057669
-2.031642722671771,-0.8271188483526942,0.05422380922697307,0.025719624762611793
-1.5605895750893588,-0.8513414438456395,2.3594557055307184,2.2113782588477946
0.7811692076759357,1.6278951806802355,-0.9536519999628733,-0.8039378517388797
0.8375808220871525,1.8532292519848674,-1.1822919133139245,-1.1736285302376186
-0.9030046561551871,-0.8177911676030659,0.10115711456437726,0.14940482638035887
-1.841696770622379,-0.7617635465192525,-0.0648111018158998,-0.13316895804403048
0.8399220144785042,2.8133238285528233,-0.3864140235221999,-0.3486242683174464
-1.0350862233610898,-0.8470937251108852,-0.45103899809520354,-0.21133353424137397
-1.1251030221580915,-0.7887528408217168,1.306645746641085,1.4412509982410306
0.8378203335237271,1.0999950603469324,-0.3859014026655066,-0.5108324734210062
-0.6595003991468747,-0.8498016955982785,0.2057266036207913,0.06606970741996583
0.8361720288717117,1.9970228724843904,-0.7949784877203477,-0.693606148828052
0.8248099663270241,0.6777402154887345,-0.1262955794888179,-0.058247587219735976
0.8246225013223693,-0.23870881554051035,0.4401825470737475,0.30508930296907927
0.8405957245333793,0.3920585602639036,1.7678528777634488,1.551702250823807
0.8295606825307644,-0.24746026642788674,-0.5129186935603779,-0.334393657977401
0.832853065253077,0.8421419297424988,-0.4981415471809281,-0.5968610592163747
0.6785315158675189,-0.8403735996398427,-0.6359911007606499,-0.6098136750671999
0.8408459566059618,1.908734266584887,0.31382158211327627,0.40643317983601923
0.807616209788972,0.5532673488426121,-1.281788417675344,-1.2582458206452067
-0.7729723524654583,-0.3052667170688896,-1.6698802399812744,-1.8243045187307079
0.18960613902947576,-0.8511729248406733,2.389597282494693,2.229664312381744
-2.252414410508003,-0.851209788227896,2.602091207559735,2.7757249511209534
0.8222278315534106,1.1997971227889668,0.5799467945719988,0.5014556957232081
0.1576552447669946,-0.805741991139995,0.19752167840073512,0.36582019085035533
0.26710799659773476,-0.7941533287016602,-1.0448338932292853,-1.0029654975506679
0.8344229076090229,1.096670563989781,-0.4733130402052766,-0.4665693008806836
